"year"	"month"	"day"	"obs"	"sim"	"alt"	"code"	"lat"	"long"
1998	3	21	2.4	3.5456274	386	1200570	39.839444	-7.4786944
1998	5	31	6.5	8.0547276	386	1200570	39.839444	-7.4786944
1998	6	1	8.3	10.735941	386	1200570	39.839444	-7.4786944
1998	6	2	5	6.8686571	386	1200570	39.839444	-7.4786944
1998	6	3	3.7	8.8820257	386	1200570	39.839444	-7.4786944
1998	6	4	6.6	4.5269752	386	1200570	39.839444	-7.4786944
1998	6	5	7.2	9.8252659	386	1200570	39.839444	-7.4786944
1998	6	6	5.3	6.7948608	386	1200570	39.839444	-7.4786944
1998	6	7	3.9	8.784277	386	1200570	39.839444	-7.4786944
1998	6	8	2.6	6.3627253	386	1200570	39.839444	-7.4786944
1998	6	9	7.7	9.8670244	386	1200570	39.839444	-7.4786944
1998	6	10	9.1	10.00804	386	1200570	39.839444	-7.4786944
1998	6	11	6.3	8.0803757	386	1200570	39.839444	-7.4786944
1998	6	12	7.7	7.4634838	386	1200570	39.839444	-7.4786944
1998	6	13	6.5	9.6018887	386	1200570	39.839444	-7.4786944
1998	6	14	8.1	10.403516	386	1200570	39.839444	-7.4786944
1998	6	15	5.5	9.9172106	386	1200570	39.839444	-7.4786944
1998	6	16	5.3	8.1551695	386	1200570	39.839444	-7.4786944
1998	6	17	3.2	5.978375	386	1200570	39.839444	-7.4786944
1998	6	18	4.6	4.4525533	386	1200570	39.839444	-7.4786944
1998	6	19	6.4	7.6269712	386	1200570	39.839444	-7.4786944
1998	6	20	4.7	7.1734715	386	1200570	39.839444	-7.4786944
1998	6	21	5.1	8.2302427	386	1200570	39.839444	-7.4786944
1998	6	22	4.9	8.7685623	386	1200570	39.839444	-7.4786944
1998	6	23	5.9	9.1565056	386	1200570	39.839444	-7.4786944
1998	6	24	8.1	11.908175	386	1200570	39.839444	-7.4786944
1998	6	25	5.8	10.886466	386	1200570	39.839444	-7.4786944
1998	6	26	5	9.2433605	386	1200570	39.839444	-7.4786944
1998	6	27	5.5	9.4918699	386	1200570	39.839444	-7.4786944
1998	6	28	4.6	7.170074	386	1200570	39.839444	-7.4786944
1998	6	29	5	7.8703232	386	1200570	39.839444	-7.4786944
1998	6	30	5.6	7.3552761	386	1200570	39.839444	-7.4786944
1998	7	1	8.5	9.2095652	386	1200570	39.839444	-7.4786944
1998	7	2	7.4	9.3142767	386	1200570	39.839444	-7.4786944
1998	7	3	5.6	8.3130722	386	1200570	39.839444	-7.4786944
1998	7	4	5.2	6.3250089	386	1200570	39.839444	-7.4786944
1998	7	5	5.9	8.0867739	386	1200570	39.839444	-7.4786944
1998	7	6	7.3	8.9075794	386	1200570	39.839444	-7.4786944
1998	7	7	5.8	9.3554564	386	1200570	39.839444	-7.4786944
1998	7	8	4.5	7.4475632	386	1200570	39.839444	-7.4786944
1998	7	9	6.6	9.0149126	386	1200570	39.839444	-7.4786944
1998	7	10	7	9.9974508	386	1200570	39.839444	-7.4786944
1998	7	11	5.2	7.7612309	386	1200570	39.839444	-7.4786944
1998	7	12	7	9.1483212	386	1200570	39.839444	-7.4786944
1998	7	13	8.3	9.9743977	386	1200570	39.839444	-7.4786944
1998	7	14	6.8	7.6184587	386	1200570	39.839444	-7.4786944
1998	7	15	4.5	8.142827	386	1200570	39.839444	-7.4786944
1998	7	16	4.5	8.0232162	386	1200570	39.839444	-7.4786944
1998	7	17	5.2	7.9091105	386	1200570	39.839444	-7.4786944
1998	7	18	5.4	8.3766155	386	1200570	39.839444	-7.4786944
1998	7	19	5.4	8.3959122	386	1200570	39.839444	-7.4786944
1998	7	20	7.6	8.9967899	386	1200570	39.839444	-7.4786944
1998	7	21	5.8	8.3094692	386	1200570	39.839444	-7.4786944
1998	7	22	6.1	9.4351912	386	1200570	39.839444	-7.4786944
1998	7	23	5.8	9.0830755	386	1200570	39.839444	-7.4786944
1998	7	24	6.5	9.6861238	386	1200570	39.839444	-7.4786944
